GEO.id,GEO.display-label,NAICS.id,NAICS.display-label,REVENUE (k),YEAR.id,ESTAB
8610000US06001,"ZIP 06001 (Avon, CT)",448150,Clothing accessories stores,375,2012,1
8610000US06001,"ZIP 06001 (Avon, CT)",44819,Other clothing stores,1000,2012,1
8610000US06001,"ZIP 06001 (Avon, CT)",448190,Other clothing stores,1000,2012,1
8610000US06001,"ZIP 06001 (Avon, CT)",4482,Shoe stores,1000,2012,1
8610000US06001,"ZIP 06001 (Avon, CT)",44821,Shoe stores,1000,2012,1
8610000US06001,"ZIP 06001 (Avon, CT)",448210,Shoe stores,1000,2012,1
8610000US06001,"ZIP 06001 (Avon, CT)",4483,"Jewelry, luggage, and leather goods stores",3125,2012,4
8610000US06001,"ZIP 06001 (Avon, CT)",44831,Jewelry stores,3125,2012,4
8610000US06001,"ZIP 06001 (Avon, CT)",448310,Jewelry stores,3125,2012,4
8610000US06001,"ZIP 06001 (Avon, CT)",451,"Sporting goods, hobby, musical instrument, and book stores",8000,2012,12
8610000US06001,"ZIP 06001 (Avon, CT)",4511,"Sporting goods, hobby, and musical instrument stores",8000,2012,12
8610000US06001,"ZIP 06001 (Avon, CT)",45111,Sporting goods stores,5500,2012,9
8610000US06001,"ZIP 06001 (Avon, CT)",451110,Sporting goods stores,5500,2012,9
8610000US06001,"ZIP 06001 (Avon, CT)",45112,"Hobby, toy, and game stores",1750,2012,2
8610000US06001,"ZIP 06001 (Avon, CT)",451120,"Hobby, toy, and game stores",1750,2012,2
8610000US06001,"ZIP 06001 (Avon, CT)",45114,Musical instrument and supplies stores,750,2012,1
8610000US06001,"ZIP 06001 (Avon, CT)",451140,Musical instrument and supplies stores,750,2012,1
8610000US06001,"ZIP 06001 (Avon, CT)",452,General merchandise stores,1375,2012,2
8610000US06001,"ZIP 06001 (Avon, CT)",4521,Department stores,1000,2012,1
8610000US06001,"ZIP 06001 (Avon, CT)",45211,Department stores,1000,2012,1
8610000US06001,"ZIP 06001 (Avon, CT)",452112,Discount department stores,1000,2012,1
8610000US06001,"ZIP 06001 (Avon, CT)",4529,Other general merchandise stores,375,2012,1
8610000US06001,"ZIP 06001 (Avon, CT)",45299,All other general merchandise stores,375,2012,1
8610000US06001,"ZIP 06001 (Avon, CT)",452990,All other general merchandise stores,375,2012,1
