GEO.id,INCOME.aggregate
8600000US01505,231491400
8600000US01506,94480300
8600000US01507,431842400
8600000US01510,404807100
8600000US01515,61736400
8600000US01516,291968800
8600000US01518,101576000
8600000US01519,290848400
8600000US01520,575526900
8600000US01521,77636900
8600000US01522,110498200
8600000US01523,222741700
8600000US01524,206535200
8600000US01525,3892800
8600000US01527,437482700
8600000US01529,84972900
8600000US01531,35247500
8600000US01532,662042300
8600000US01534,196663600
8600000US01535,131267700
8600000US01536,257854000
8600000US01537,77085800
8600000US01540,325255300
8600000US01541,147876200
8600000US01542,52260300
8600000US01543,250030300
8600000US01545,1390108500
8600000US01550,363281200
8600000US01560,138832400
8600000US01561,4735600
8600000US01562,345305800
8600000US01564,325251200
8600000US01566,235595900
8600000US01568,332584800
8600000US01569,459937200
8600000US01570,437120700
8600000US01571,314611100
8600000US01581,836129800
8600000US01583,217680100
8600000US01585,139344300
8600000US01588,306188300
8600000US01590,386440100
8600000US01602,681382500
8600000US01603,393181400
8600000US01604,929121400
8600000US01605,564722200
8600000US01606,627698600
8600000US01607,207078000
8600000US01608,43434000
8600000US01609,532249600
8600000US01610,298910700
8600000US01611,80255100
8600000US01612,176788000
8600000US01701,1228805100
8600000US01702,1067694900
8600000US01718,22689000
8600000US01719,289939300
8600000US01720,1115681200
8600000US01721,746702500
8600000US01730,653079300
8600000US01731,38563800
8600000US01740,261641900
8600000US01741,368715100
8600000US01742,1256028000
8600000US01745,10386900
8600000US01746,613989800
8600000US01747,233032500
8600000US01748,815605200
8600000US01749,669178000
8600000US01752,1396317600
8600000US01754,391381000
8600000US01756,227784400
8600000US01757,885349100
8600000US01760,1612421600
8600000US01770,309427300
8600000US01772,560882300
8600000US01773,312887800
8600000US01775,318594200
8600000US01776,1176115400
8600000US01778,863278900
8600000US01801,1301816600
8600000US01803,975738900
8600000US01810,1775885300
8600000US01821,1056692400
8600000US01824,1101503800
8600000US01826,920227800
8600000US01827,139434800
8600000US01830,724046100
8600000US01832,616054200
8600000US01833,350107100
8600000US01834,258753000
8600000US01835,440483500
8600000US01840,64355200
8600000US01841,690743900
8600000US01843,498552300
8600000US01844,1390980900
8600000US01845,1302001800
8600000US01850,364444200
8600000US01851,643908900
8600000US01852,874125700
8600000US01854,582358500
8600000US01860,245018900
8600000US01862,305371500
8600000US01863,347817900
8600000US01864,625988800
8600000US01867,1101727900
8600000US01876,1060433600
8600000US01879,473528300
8600000US01880,982823900
8600000US01886,1076999400
8600000US01887,809340600
8600000US01890,1370931100
8600000US01901,42808600
8600000US01902,871150300
8600000US01904,576024900
8600000US01905,469114700
8600000US01906,901182300
8600000US01907,716591700
8600000US01908,160898800
8600000US01913,649880600
8600000US01915,1428645800
8600000US01921,485394900
8600000US01922,118356200
