GEO.id,RACE.white,RACE.black,RACE.native,RACE.asian,RACE.pacific,RACE.other,RACE.two
8600000US01003,9319,539,0,1181,6,63,178
8600000US01005,5035,6,9,70,0,0,0
8600000US01007,13771,194,0,240,0,57,331
8600000US01008,1139,0,0,14,0,7,0
8600000US01009,603,0,0,0,0,0,33
8600000US01010,3610,0,0,0,0,0,0
8600000US01011,1288,13,0,12,0,1,12
8600000US01012,502,0,0,0,0,0,4
8600000US01013,17775,957,0,294,0,2501,295
8600000US01020,27286,829,39,432,0,1766,541
8600000US01022,2024,328,0,55,0,68,136
8600000US01026,1025,24,3,0,0,0,14
8600000US01027,16209,258,0,777,0,72,306
8600000US01028,14508,630,26,316,0,45,185
8600000US01029,563,0,0,36,0,0,2
8600000US01030,10497,236,185,77,0,52,49
8600000US01031,1378,40,16,10,0,0,103
8600000US01032,608,0,0,7,0,0,11
8600000US01033,6052,0,0,35,0,22,88
8600000US01034,1919,6,13,8,0,0,6
8600000US01035,4986,132,0,76,0,16,29
8600000US01036,4961,48,0,0,0,0,87
8600000US01037,663,0,0,0,0,53,0
8600000US01038,2631,2,0,0,0,0,43
8600000US01039,1513,0,0,6,0,0,13
8600000US01040,33524,1772,219,516,0,3230,735
8600000US01050,2533,18,0,10,0,12,97
8600000US01053,1747,67,0,43,0,18,51
8600000US01054,1673,60,0,19,0,11,49
8600000US01056,20061,386,20,133,0,318,228
8600000US01057,8269,79,4,26,0,25,108
8600000US01060,12464,461,55,1368,8,329,380
8600000US01062,10133,227,18,211,0,89,302
8600000US01063,476,43,0,92,0,16,44
8600000US01066,0,0,0,0,0,0,0
8600000US01068,1787,0,3,0,0,0,6
8600000US01069,8786,25,0,0,0,0,70
8600000US01070,516,4,2,0,0,1,6
8600000US01071,1400,3,0,4,0,46,32
8600000US01072,1325,11,4,14,0,0,95
8600000US01073,5692,39,0,0,0,13,84
8600000US01074,271,0,0,0,0,0,0
8600000US01075,16457,397,13,420,26,162,230
8600000US01077,9164,11,0,183,0,57,81
8600000US01079,472,0,0,0,0,0,20
8600000US01080,2214,37,0,10,0,0,68
8600000US01081,1817,9,9,0,0,3,24
8600000US01082,10091,29,18,7,26,14,80
8600000US01083,2829,0,0,0,0,30,54
8600000US01084,239,0,0,0,0,0,0
8600000US01085,37012,683,29,899,0,1227,740
8600000US01086,1176,101,0,17,0,4,0
8600000US01088,586,9,0,0,0,0,0
8600000US01089,25229,634,253,1226,0,682,387
8600000US01092,1440,0,0,0,0,0,0
8600000US01093,296,0,0,0,0,0,2
8600000US01094,240,0,0,0,0,0,0
8600000US01095,13691,236,2,240,0,28,78
8600000US01096,2141,16,7,22,0,0,34
8600000US01097,83,0,0,0,0,0,0
8600000US01098,1125,9,0,0,0,0,4
8600000US01103,1364,436,0,42,0,384,114
8600000US01104,12892,2853,0,302,0,5935,851
8600000US01105,4417,2810,54,2,3,4883,495
8600000US01106,14709,116,0,1077,4,81,92
8600000US01107,4609,1031,88,67,0,4798,478
8600000US01108,12635,4896,204,1324,0,5652,840
8600000US01109,9570,13042,134,401,4,6516,1836
8600000US01118,10770,1754,0,460,0,345,433
8600000US01119,9920,3542,129,137,0,924,294
8600000US01128,1933,313,0,0,0,90,11
8600000US01129,4990,1222,0,392,0,540,186
8600000US01151,5597,1226,26,382,0,1266,158
8600000US01199,0,0,0,0,0,0,0
8600000US01201,41118,2308,74,540,13,452,1470
8600000US01220,8405,48,21,17,0,20,146
8600000US01222,848,0,0,7,0,0,20
8600000US01223,2308,15,3,40,0,3,30
8600000US01224,198,0,0,93,0,0,0
8600000US01225,2999,10,0,0,0,11,16
8600000US01226,6943,27,14,30,0,10,0
8600000US01229,170,0,0,0,0,0,0
8600000US01230,7668,177,4,152,0,216,269
8600000US01235,2775,24,16,24,0,0,28
8600000US01236,1249,20,17,29,0,0,81
8600000US01237,2555,40,0,4,0,0,0
8600000US01238,5958,9,0,91,0,132,0
8600000US01240,4294,39,8,74,0,3,24
8600000US01242,569,0,0,0,0,0,0
8600000US01243,253,0,14,0,0,0,0
8600000US01244,117,0,0,0,0,16,0
8600000US01245,730,42,0,0,0,12,37
8600000US01247,14975,465,80,61,21,88,470
8600000US01253,607,5,0,0,0,0,11
8600000US01254,1098,1,6,7,0,6,2
8600000US01255,804,0,2,45,0,3,32
8600000US01256,646,13,0,0,0,0,4
8600000US01257,1966,11,0,87,0,0,8
8600000US01258,315,4,2,0,0,0,0
8600000US01259,532,0,0,10,0,0,22
8600000US01260,157,0,0,0,0,0,0
8600000US01262,1046,37,0,28,0,16,44
8600000US01264,143,0,0,0,0,0,0
8600000US01266,1522,31,0,0,0,0,47
8600000US01267,7272,153,49,294,0,67,159
8600000US01270,766,0,0,0,0,0,10
8600000US01301,16686,248,21,254,6,195,433
8600000US01330,1388,5,0,6,0,0,40
8600000US01331,12685,25,61,113,0,374,262
8600000US01337,2461,0,0,49,0,0,18
8600000US01338,231,0,0,0,0,0,0
8600000US01339,1525,19,4,21,0,0,17
8600000US01340,1583,5,13,26,0,0,44
8600000US01341,1689,11,0,10,0,2,64
8600000US01342,1243,2,0,49,0,0,187
8600000US01343,85,0,0,0,0,0,0
8600000US01344,1375,1,0,3,0,27,65
8600000US01346,416,0,0,3,0,7,0
8600000US01347,92,0,0,0,0,0,10
8600000US01349,827,0,0,11,0,0,9
8600000US01350,103,0,0,0,0,0,2
8600000US01351,2131,37,0,50,0,0,149
8600000US01354,1472,12,0,0,0,59,22
8600000US01355,873,19,0,0,0,0,3
8600000US01360,3035,1,0,0,0,0,7
8600000US01364,7817,50,18,47,0,6,28
8600000US01366,1249,0,0,29,0,0,23
8600000US01367,512,0,0,1,0,2,15
8600000US01368,1017,0,17,13,0,0,4
8600000US01370,4030,20,0,36,0,10,31
8600000US01373,4468,0,17,63,0,5,78
8600000US01375,3276,15,42,223,0,62,72
8600000US01376,5058,64,82,59,0,78,91
8600000US01378,601,0,0,20,0,0,10
8600000US01379,887,64,3,20,0,0,30
8600000US01420,32180,1571,69,1192,0,4162,1153
8600000US01430,5799,64,0,0,0,108,106
8600000US01431,3006,0,0,16,0,0,44
8600000US01432,6283,295,58,165,0,67,237
8600000US01434,1072,272,48,27,0,54,91
8600000US01436,3555,8,0,0,0,5,73
8600000US01438,313,0,0,0,0,0,0
8600000US01440,18403,358,59,461,0,594,518
8600000US01450,10215,109,31,221,0,0,111
8600000US01451,4428,149,17,241,0,37,43
8600000US01452,4280,0,0,48,0,0,38
8600000US01453,33375,2343,140,1107,0,2947,1201
8600000US01460,8370,2,11,359,0,20,172
8600000US01462,9719,149,0,172,0,64,252
8600000US01463,11076,23,6,272,0,7,153
8600000US01464,5750,643,5,176,0,498,280
8600000US01467,398,0,0,3,0,0,0
8600000US01468,3752,0,0,57,0,0,71
8600000US01469,6691,0,22,72,0,6,31
8600000US01473,7067,40,25,24,0,17,109
8600000US01474,1949,0,0,51,0,150,9
8600000US01475,9701,84,12,284,0,97,155
8600000US01501,15429,259,6,118,13,67,188
8600000US01503,2695,34,0,57,10,28,32
8600000US01504,8435,132,0,81,0,121,261
8600000US01505,4110,10,0,104,0,52,65
8600000US01506,3329,0,5,9,0,9,26
8600000US01507,12608,0,0,36,0,148,155
8600000US01510,11851,358,73,218,26,731,361
8600000US01515,2084,21,0,0,0,0,47
8600000US01516,8341,35,0,17,0,0,73
8600000US01518,2962,3,0,0,0,0,124
8600000US01519,6082,10,0,220,0,0,74
8600000US01520,13641,57,10,515,19,35,56
8600000US01521,2388,38,0,13,0,0,38
8600000US01522,2919,9,0,39,0,0,27
8600000US01523,6262,527,37,104,0,296,169
8600000US01524,6784,52,8,178,0,0,7
8600000US01525,136,0,0,0,0,0,0
8600000US01527,12743,104,0,197,0,81,132
