GEO.id,GEO.display-label,NAICS.id,NAICS.display-label,REVENUE (k),YEAR.id,ESTAB
8610000US03901,"ZIP 03901 (Berwick, ME)",44-45,Retail trade,5250,2012,7
8610000US03901,"ZIP 03901 (Berwick, ME)",441,Motor vehicle and parts dealers,2750,2012,3
8610000US03901,"ZIP 03901 (Berwick, ME)",4411,Automobile dealers,2000,2012,2
8610000US03901,"ZIP 03901 (Berwick, ME)",44112,Used car dealers,2000,2012,2
8610000US03901,"ZIP 03901 (Berwick, ME)",441120,Used car dealers,2000,2012,2
8610000US03901,"ZIP 03901 (Berwick, ME)",4413,"Automotive parts, accessories, and tire stores",750,2012,1
8610000US03901,"ZIP 03901 (Berwick, ME)",44131,Automotive parts and accessories stores,750,2012,1
8610000US03901,"ZIP 03901 (Berwick, ME)",441310,Automotive parts and accessories stores,750,2012,1
8610000US03901,"ZIP 03901 (Berwick, ME)",445,Food and beverage stores,375,2012,1
8610000US03901,"ZIP 03901 (Berwick, ME)",4451,Grocery stores,375,2012,1
8610000US03901,"ZIP 03901 (Berwick, ME)",44512,Convenience stores,375,2012,1
8610000US03901,"ZIP 03901 (Berwick, ME)",445120,Convenience stores,375,2012,1
8610000US03901,"ZIP 03901 (Berwick, ME)",447,Gasoline stations,2000,2012,2
8610000US03901,"ZIP 03901 (Berwick, ME)",4471,Gasoline stations,2000,2012,2
8610000US03901,"ZIP 03901 (Berwick, ME)",44711,Gasoline stations with convenience stores,1000,2012,1
8610000US03901,"ZIP 03901 (Berwick, ME)",447110,Gasoline stations with convenience stores,1000,2012,1
8610000US03901,"ZIP 03901 (Berwick, ME)",44719,Other gasoline stations,1000,2012,1
8610000US03901,"ZIP 03901 (Berwick, ME)",447190,Other gasoline stations,1000,2012,1
8610000US03901,"ZIP 03901 (Berwick, ME)",453,Miscellaneous store retailers,125,2012,1
8610000US03901,"ZIP 03901 (Berwick, ME)",4539,Other miscellaneous store retailers,125,2012,1
8610000US03901,"ZIP 03901 (Berwick, ME)",45391,Pet and pet supplies stores,125,2012,1
8610000US03901,"ZIP 03901 (Berwick, ME)",453910,Pet and pet supplies stores,125,2012,1
8610000US03902,"ZIP 03902 (Cape Neddick, ME)",44-45,Retail trade,4750,2012,9
8610000US03902,"ZIP 03902 (Cape Neddick, ME)",442,Furniture and home furnishings stores,1125,2012,2
8610000US03902,"ZIP 03902 (Cape Neddick, ME)",4422,Home furnishings stores,1125,2012,2
8610000US03902,"ZIP 03902 (Cape Neddick, ME)",44229,Other home furnishings stores,1125,2012,2
